2013³â,°æº¹±Ã(ÁÖ°£ Âø¿ëÀÚ),Ã¢´ö±Ã(ÁÖ°£ Âø¿ëÀÚ),´ö¼ö±Ã(ÁÖ°£ Âø¿ëÀÚ),Ã¢°æ±Ã(ÁÖ°£ Âø¿ëÀÚ),Á¾¹¦(ÁÖ°£ Âø¿ëÀÚ)
1¿ù,0,0,0,0,0
2¿ù,196,0,0,0,0
3¿ù,0,0,0,0,0
4¿ù,0,0,0,0,0
5¿ù,0,0,0,0,0
6¿ù,0,0,0,0,0
7¿ù,0,0,0,0,0
8¿ù,0,0,0,0,0
9¿ù,0,0,0,0,0
10¿ù,0,47,78,0,0
11¿ù,0,185,43,0,0
12¿ù,0,8,8,0,0
