2020년,경복궁(주·야간 착용자),창덕궁(주·야간 착용자),덕수궁(주·야간 착용자),창경궁(주·야간 착용자),종묘(주간 착용자)
1월,"63,939","6,797",206,921,12
2월,"27,365","3,010",209,483,13
3월,"2,282",927,38,225,0
4월,"3,533",976,50,395,13
5월,"4,397","1,133",81,414,9
6월,0,0,0,0,0
7월,438,122,9,40,0
8월,"1,308",249,23,80,1
9월,"3,173",626,75,316,6
10월,"15,035","3,179",160,"1,367",39
11월,"7,634","1,808",106,768,3
12월,668,196,13,52,2
,,,,,
,,,,,
