2016년,경복궁(주·야간 착용자),창덕궁(주·야간 착용자),덕수궁(주·야간 착용자),창경궁(주·야간 착용자),종묘(주간 착용자)
1월,0,740,207,0,19
2월,604,"2,276",510,880,112
3월,467,"1,869",247,910,62
4월,"6,198","5,469",755,679,103
5월,"34,177","7,736",624,560,274
6월,"20,025","3,712",387,930,60
7월,"20,435","2,458",338,"1,051",29
8월,"23,293","2,602",332,"1,123",65
9월,"40,106","5,624","1,141","1,808",223
10월,"108,549","7,758","1,078","2,095",88
11월,"21,403","5,304",837,"1,226",72
12월,"13,313","2,819",269,582,23
