2019년,경복궁(주·야간 착용자),창덕궁(주·야간 착용자),덕수궁(주·야간 착용자),창경궁(주·야간 착용자),종묘(주간 착용자)
1월,"32,084","5,162",205,785,7
2월,"44,367","7,299",299,1764,22
3월,"70,194","10,677",505,"1,930",30
4월,"102,204","18,305",529,"3,573",63
5월,"105,187","16,790",595,"3,702",43
6월,"88,477","9,869",478,"1,698",15
7월,"72,711","7,835",450,986,17
8월,"77,003","8,500",186,1301,16
9월,"109,353","14,777",494,"3,390",28
10월,"99,859","33,420",931,"3,813",56
11월,"87,934","25,217",651,"2,326",23
12월,"64,694","6,865",150,732,11
,,,,,
,,,,,
