2014³â,°æº¹±Ã(ÁÖ°£ Âø¿ëÀÚ),Ã¢´ö±Ã(ÁÖ°£ Âø¿ëÀÚ),´ö¼ö±Ã(ÁÖ°£ Âø¿ëÀÚ),Ã¢°æ±Ã(ÁÖ°£ Âø¿ëÀÚ),Á¾¹¦(ÁÖ°£ Âø¿ëÀÚ)
1¿ù,0,228,73,0,0
2¿ù,0,108,24,0,0
3¿ù,0,12,13,0,0
4¿ù,0,189,13,0,0
5¿ù,0,54,41,0,0
6¿ù,0,5,10,0,0
7¿ù,0,7,51,0,0
8¿ù,0,12,21,0,0
9¿ù,0,31,373,0,0
10¿ù,0,2,157,0,0
11¿ù,0,20,70,0,0
12¿ù,0,4,7,0,0
