ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2010-01-01,9179,2826,7039,457,1073,3333,103,2079,699,2418,83,149,128,0,876,183,977,41,41,0,0,2557,477,2021,162,705,122,24
2010-01-02,9511,2728,7004,358,1315,3561,1,3077,1063,3782,101,91,166,0,1172,248,1399,14,7,0,0,2318,436,2169,99,398,84,4
2010-01-03,5600,1666,3822,293,838,2230,83,1249,478,1599,26,49,53,0,481,154,612,13,10,0,0,1478,289,1028,179,496,64,0
2010-01-04,2650,746,1994,109,634,647,12,0,0,0,0,0,0,0,451,91,531,1,2,0,8,0,0,0,0,0,0,0
2010-01-05,0,0,0,0,0,0,0,1697,691,2009,38,299,42,0,0,0,0,0,0,0,0,2344,448,1417,166,1111,96,2
2010-01-06,2904,954,1895,232,877,795,59,532,557,1034,6,29,20,0,224,111,330,1,4,0,0,1101,197,410,74,776,35,3
2010-01-07,1950,698,1224,130,597,664,33,591,453,916,20,61,47,0,159,140,280,7,12,0,0,682,163,427,50,356,9,3
2010-01-08,2399,731,1482,217,669,744,18,710,244,839,22,62,31,0,235,181,401,12,3,0,0,915,163,473,92,490,17,6
2010-01-09,4038,7925,9728,268,717,1129,121,1199,1526,2570,24,50,81,0,494,432,884,28,8,0,6,1499,297,1206,107,449,30,4
2010-01-10,5241,1315,4332,206,800,1109,109,1612,677,2112,39,54,81,3,788,224,1002,4,6,0,0,1640,304,1083,80,757,24,0
2010-01-11,2508,802,1758,113,604,799,36,0,0,0,0,0,0,0,340,177,427,39,45,4,2,0,0,0,0,0,0,0
2010-01-12,0,0,0,0,0,0,0,978,415,1201,25,156,11,0,0,0,0,0,0,0,0,1081,206,480,103,661,42,1
2010-01-13,2352,794,1188,142,613,1123,80,346,310,650,3,3,0,0,162,84,216,5,25,0,0,688,113,290,40,459,12,0
2010-01-14,2401,758,1246,117,658,1097,41,405,361,664,17,48,37,0,164,103,222,11,32,0,2,568,96,324,39,292,9,0
2010-01-15,2850,991,1648,201,741,1197,54,829,317,1089,10,39,8,0,242,187,403,8,14,2,2,903,168,560,66,421,21,3
2010-01-16,6480,1956,5376,249,672,2039,100,1940,837,2521,52,82,112,10,575,232,783,9,11,4,0,1569,263,1258,78,471,25,0
2010-01-17,6794,1981,5460,319,819,2176,1,1898,480,2190,65,59,64,0,860,244,1069,16,17,0,2,1942,306,1469,108,603,56,12
2010-01-18,3934,1186,2651,197,1069,1014,189,0,0,0,0,0,0,0,284,158,395,29,18,0,0,0,0,0,0,0,0,0
2010-01-19,0,0,0,0,0,0,0,1690,783,2436,12,10,15,0,0,0,0,0,0,0,0,1898,337,911,202,1012,108,2
2010-01-20,2582,886,1287,120,592,1375,94,766,352,1083,2,7,26,0,222,70,277,11,4,0,0,656,112,282,51,417,17,1
2010-01-21,3712,1062,2559,129,789,1239,58,1020,511,1336,40,55,100,0,234,156,371,9,7,0,3,771,149,468,37,379,34,2
2010-01-22,3707,1011,2479,154,756,1231,98,732,227,815,35,64,45,0,282,288,560,7,3,0,0,1051,202,457,87,646,61,2
2010-01-23,6259,12995,14958,265,1067,2929,35,1576,2415,3826,32,38,95,0,413,616,1020,5,4,0,0,1714,264,1274,64,586,13,41
2010-01-24,8198,2122,6252,236,871,2810,151,2495,866,3186,54,46,64,11,961,259,1175,30,12,0,3,2096,399,1642,80,722,48,3
2010-01-25,3905,1067,2395,218,771,1522,66,0,0,0,0,0,0,0,293,161,439,10,5,0,0,0,0,0,0,0,0,0
