ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2014-01-01,14764,2606,11075,509,517,5197,72,3495,2384,5519,69,67,189,35,1429,801,2049,71,49,52,9,3639,1307,3427,380,856,246,37
2014-01-02,7873,1594,6232,280,227,2448,280,2116,1666,3462,40,63,195,22,665,401,935,40,58,18,15,1969,712,1718,424,405,110,24
2014-01-03,6626,1627,5385,377,193,2270,28,2081,1764,3602,70,60,96,17,557,548,995,55,38,9,8,1764,640,1671,303,299,109,22
2014-01-04,8714,2618,8672,504,247,1864,45,3728,3258,6731,98,61,57,39,958,823,1687,17,35,12,30,2564,1232,3043,279,331,135,8
2014-01-05,7790,1993,7283,116,106,2180,98,3389,2406,5256,78,42,371,48,905,636,1428,62,42,2,7,2281,912,2433,190,298,233,39
2014-01-06,5259,1131,3794,356,194,1767,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-07,0,0,0,0,0,0,0,2437,2267,4445,53,37,169,0,414,733,1110,11,26,0,0,1700,802,1508,280,466,187,61
2014-01-08,4603,1284,4078,282,115,1383,29,1555,1197,2523,54,26,90,59,334,415,702,14,19,6,8,919,476,876,170,252,57,40
2014-01-09,5536,794,3470,195,67,2239,359,1123,1007,2003,28,12,85,2,220,186,326,29,3,48,0,788,327,837,94,91,70,23
2014-01-10,3926,754,3389,311,105,866,9,1172,913,1889,41,16,91,48,237,221,396,4,30,28,0,823,346,755,111,187,57,59
2014-01-11,7594,2259,7994,284,91,1424,60,3395,2584,5642,58,69,183,27,613,576,1146,12,23,5,3,2027,845,2211,264,283,95,19
