ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2013-01-01,7098,1404,6358,190,270,1680,4,2843,1160,3335,94,122,438,14,1231,480,1582,46,68,11,4,3925,872,3055,441,821,440,40
2013-01-02,5878,508,2720,564,471,2627,4,694,342,764,53,67,147,5,179,132,252,25,26,6,2,1379,255,611,269,540,194,20
2013-01-03,4390,879,2306,496,432,2031,4,466,366,687,36,32,77,0,234,120,280,5,64,0,5,1169,247,497,196,618,103,2
2013-01-04,4062,655,1989,483,629,1606,10,626,392,868,28,54,64,4,203,160,276,18,60,3,6,1232,355,808,160,540,72,7
2013-01-05,6104,1183,4043,457,560,2207,20,1709,1159,2630,53,44,120,21,442,220,571,23,66,0,2,1703,556,1426,256,516,46,15
2013-01-06,5471,1078,4264,193,226,1861,5,1536,1191,2595,25,35,42,30,464,267,688,22,16,5,0,1523,353,1140,240,301,180,15
2013-01-07,3817,746,2437,137,274,1713,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,0,0,0,0,0,0,0,1227,586,1447,75,59,229,3,293,265,534,17,7,0,0,1501,350,848,259,572,133,39
2013-01-09,3747,591,2284,182,164,1703,5,613,405,834,62,21,98,3,170,132,276,11,15,0,0,720,131,339,138,234,117,23
2013-01-10,3535,551,2032,106,110,1833,5,719,592,1187,44,19,61,0,233,189,394,18,8,0,2,766,206,494,216,183,79,0
2013-01-11,3781,877,2452,145,206,1808,47,1150,743,1699,36,31,112,15,312,289,564,22,2,13,0,864,304,681,215,212,40,20
2013-01-12,7836,1996,6471,439,150,2733,39,2657,2336,4868,41,20,62,2,746,471,1184,16,11,6,0,2239,693,2349,218,168,191,6
2013-01-13,8274,1826,7374,131,201,2371,23,2865,2159,4786,40,73,124,1,806,407,1171,16,26,0,0,2300,661,1987,301,587,68,18
2013-01-14,4698,795,2962,216,195,2117,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,0,0,0,0,0,0,0,1139,561,1240,90,127,229,14,413,371,746,19,19,0,0,1513,553,1216,170,550,116,14
2013-01-16,4734,856,3554,202,342,1478,14,559,336,758,26,30,49,32,229,204,415,11,7,0,0,994,333,768,148,289,114,8
2013-01-17,4498,872,3344,150,145,1729,2,590,428,878,49,33,58,0,256,282,496,25,12,5,0,973,300,629,147,416,67,14
2013-01-18,4894,923,3113,106,143,2407,48,699,420,899,34,25,151,10,315,246,531,12,15,3,0,958,347,784,101,329,86,5
2013-01-19,9265,2733,9099,135,278,2481,5,2189,1370,3250,76,104,104,25,906,527,1375,31,26,0,1,2393,938,2594,223,315,192,7
2013-01-20,8726,1980,7570,339,365,2397,35,1984,1009,2635,85,54,217,2,871,538,1374,20,14,1,0,2375,756,2419,270,270,170,2
2013-01-21,4071,409,1979,163,379,1951,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-22,0,0,0,0,0,0,0,1551,810,1653,71,171,449,17,416,342,672,36,34,14,2,2271,524,1222,293,734,511,35
2013-01-23,6288,723,3453,479,631,2441,7,703,360,737,29,16,273,8,191,109,276,13,6,0,5,966,266,616,113,344,153,6
2013-01-24,5928,1485,4178,120,157,2914,44,735,651,1097,66,25,186,12,269,240,464,22,14,4,5,1066,302,714,130,447,67,10
2013-01-25,4949,505,2151,291,212,2793,7,564,318,744,21,5,102,10,184,127,273,18,18,2,0,921,195,464,188,247,212,5
2013-01-26,8345,1215,4644,350,247,4287,32,1228,725,1641,63,40,200,9,326,297,594,6,19,4,0,1271,340,915,191,386,97,22
2013-01-27,7468,1097,4672,308,305,3276,4,1270,485,1344,76,86,247,2,394,188,525,40,10,7,0,1553,377,1046,199,484,188,13
2013-01-28,7346,947,3252,401,382,4248,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-29,0,0,0,0,0,0,0,1455,406,1358,73,83,346,1,326,281,564,17,18,8,0,2165,433,1024,224,768,571,11
2013-01-30,6566,963,3170,66,211,4056,26,1088,533,1408,64,64,85,0,437,270,649,22,32,4,0,1168,346,794,97,409,204,10
2013-01-31,7438,904,3853,224,228,4002,35,1320,513,1638,56,39,100,0,500,382,836,17,10,17,2,1368,474,1050,216,449,118,9
2013-02-01,3639,403,1324,54,117,2544,3,438,204,567,9,3,48,15,85,147,204,12,10,2,4,421,84,144,74,190,92,5
2013-02-02,9860,1205,6094,144,193,4621,13,2262,858,2773,134,40,172,1,656,368,958,26,28,12,0,2241,553,1768,360,439,199,28
2013-02-03,7146,866,3870,190,335,3569,48,1301,486,1471,86,22,200,8,443,174,573,23,18,3,0,1324,314,923,218,339,152,6
2013-02-04,7709,728,5359,64,332,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,0,0,0,0,0,0,0,1255,777,1440,49,63,478,2,356,247,551,22,27,3,0,1992,272,858,251,744,391,20
2013-02-06,5332,496,2265,177,249,3137,0,806,322,925,32,29,142,0,374,200,539,13,20,2,0,1142,226,638,132,397,182,19
2013-02-07,3491,625,1512,103,197,2299,5,330,172,414,26,11,51,0,106,81,164,8,7,8,0,543,133,246,121,252,52,5
2013-02-08,2505,117,910,86,131,1495,0,474,144,445,37,7,127,2,93,60,131,14,2,6,0,517,104,154,99,220,148,0
2013-02-09,7149,595,3192,257,97,4189,9,1016,313,1015,92,36,158,28,258,114,331,18,10,13,0,1534,251,736,324,439,278,8
2013-02-10,0,21696,21696,0,0,0,0,0,4136,2990,279,141,299,427,0,3370,3370,0,0,0,0,618,4776,5177,79,45,92,1
2013-02-11,13369,1686,8486,258,321,5984,6,1779,574,1840,82,58,354,19,933,425,1309,20,16,13,0,2075,655,2172,213,164,170,11
