ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2011-01-01,10512,1961,9205,264,566,2409,29,3374,923,3990,85,101,121,0,1056,298,1289,43,13,9,0,2947,652,2992,105,477,20,5
2011-01-02,7221,1086,6045,135,374,1747,6,3259,990,3899,83,113,151,3,763,286,1018,19,4,8,0,2279,344,1878,178,511,52,4
2011-01-03,4774,879,3769,158,482,1232,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-04,0,0,0,0,0,0,0,2610,1018,3116,70,271,171,0,601,308,820,16,59,9,5,2844,417,2196,127,918,16,4
2011-01-05,4004,883,2774,172,475,723,743,2026,739,2580,47,87,51,0,342,269,595,0,16,0,0,1465,258,1018,86,618,0,1
2011-01-06,3187,888,3116,172,261,526,0,1507,781,2135,28,55,70,0,253,192,398,11,36,0,0,1378,248,871,93,650,10,2
2011-01-07,3143,722,2928,175,255,507,0,1770,475,2038,58,87,62,0,280,471,720,0,31,0,0,878,176,597,75,364,12,6
2011-01-08,5965,1028,5719,198,247,806,23,4786,1137,5735,57,45,86,0,615,295,899,2,8,1,0,1700,430,1770,105,218,33,4
2011-01-09,4979,906,4747,192,330,596,20,3574,1185,4531,66,86,75,1,703,279,961,10,11,0,0,1499,294,1245,104,383,20,41
2011-01-10,2864,461,2486,66,234,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-11,0,0,0,0,0,0,0,2295,970,2972,66,78,144,5,471,237,684,11,3,10,0,1252,300,1054,94,395,9,0
2011-01-12,3186,583,2863,90,264,527,25,1467,796,2171,22,33,37,0,283,241,516,8,0,0,0,796,237,683,60,247,41,2
2011-01-13,3383,833,3205,88,294,595,34,2165,877,2950,37,32,23,0,367,241,601,5,0,2,0,1131,274,1038,30,311,21,5
2011-01-14,3013,707,2926,82,205,507,0,2299,744,2862,53,50,78,0,392,271,661,2,0,0,0,1047,238,773,53,433,7,19
2011-01-15,4381,1022,4039,134,381,825,24,3565,1029,4432,51,48,63,0,456,206,632,9,9,12,0,1310,186,937,133,390,34,2
2011-01-16,3040,441,2643,79,260,463,36,2035,694,2545,28,72,82,2,187,102,282,2,5,0,0,922,143,581,86,364,33,1
2011-01-17,3522,708,2674,135,463,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-18,0,0,0,0,0,0,0,2077,654,2411,81,102,137,0,329,190,482,16,20,1,0,1689,223,762,149,890,108,3
2011-01-19,4191,1021,3903,71,229,1009,0,1950,561,2416,26,36,33,0,374,226,572,8,18,2,0,927,178,817,41,238,9,0
2011-01-20,3548,693,2983,81,226,949,2,1912,564,2375,20,42,39,0,292,227,505,2,7,5,0,853,171,731,26,257,7,3
2011-01-21,3362,558,3023,45,303,547,2,2405,752,2955,55,70,77,0,274,260,495,11,20,8,0,1110,247,870,51,381,24,31
2011-01-22,7669,1414,7573,105,350,1047,8,5703,1638,7061,111,78,91,0,754,342,1091,4,0,1,0,2108,348,2145,57,232,17,5
2011-01-23,5806,1165,5173,220,383,1161,34,3710,1237,4737,65,58,87,0,585,180,747,13,2,3,0,1616,255,1535,86,229,13,8
2011-01-24,4885,1032,4141,134,371,1269,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-25,0,0,0,0,0,0,0,2505,997,3187,50,113,152,0,507,208,691,1,15,8,0,1905,237,1386,24,654,72,6
2011-01-26,3706,589,2420,92,840,943,0,2008,911,2754,45,36,84,0,240,179,399,4,16,0,0,894,173,538,61,434,22,12
2011-01-27,3288,550,2171,90,441,1079,57,1735,886,2541,25,17,38,0,240,203,425,14,4,0,0,1055,218,760,67,426,14,6
2011-01-28,3091,494,1908,112,415,1132,18,1916,742,2364,98,135,61,0,268,223,477,8,6,0,0,909,232,557,59,516,6,3
2011-01-29,4643,1057,3583,147,405,1555,10,3559,1404,4667,95,85,116,0,343,176,501,9,9,0,0,1268,210,1019,106,338,13,2
2011-01-30,3893,663,2807,134,423,1181,11,2195,1024,2968,86,88,77,0,400,159,486,24,46,0,3,1039,167,787,92,315,9,3
2011-01-31,3017,566,2135,126,442,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,2168,874,2550,101,133,255,3,294,244,522,7,9,0,0,1112,227,783,108,410,37,1
2011-02-02,6319,3141,7762,185,199,1309,5,3169,1644,4381,243,70,116,3,686,313,996,0,0,3,0,1566,366,1674,81,156,21,0
2011-02-03,0,39211,39211,0,0,0,0,4,10232,10236,0,0,0,0,0,5410,5410,0,0,0,0,965,8712,9593,50,29,1,4
2011-02-04,16908,3255,17662,165,231,2079,26,7255,3200,10083,136,109,127,0,2237,533,2733,29,8,0,0,4417,1155,5190,125,216,36,5
2011-02-05,14589,3289,14356,159,397,2962,4,6149,2827,8550,127,102,197,0,1901,608,2479,21,6,3,0,3519,845,3998,140,206,10,10
2011-02-06,7903,1608,6938,114,317,2139,3,3269,1857,4779,106,61,180,0,942,444,1362,17,2,5,0,1842,535,1978,72,269,58,0
2011-02-07,4046,673,3246,54,139,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-08,0,0,0,0,0,0,0,2161,1088,2537,83,180,449,0,507,347,848,0,6,0,0,1949,455,1602,124,641,26,11
2011-02-09,4917,781,3072,89,318,1602,617,1234,764,1782,64,75,77,0,347,317,625,6,26,2,5,1082,276,801,69,464,24,0
2011-02-10,4754,861,3526,81,378,1599,31,1200,637,1631,38,98,70,0,341,313,600,7,47,0,0,1328,369,724,85,850,24,14
2011-02-11,4582,898,3312,199,785,1173,11,1446,739,1907,94,84,100,0,371,382,725,5,23,0,0,1448,259,847,138,704,16,2
2011-02-12,6469,1437,5454,135,764,1544,9,3563,1715,4940,123,136,79,0,616,398,944,36,33,1,0,2024,407,1491,135,784,16,5
2011-02-13,6200,989,4857,314,592,1424,2,3085,1618,4315,110,99,179,0,767,282,1036,6,7,0,0,2042,389,1543,218,593,64,13
2011-02-14,4200,714,3068,229,809,802,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-15,0,0,0,0,0,0,0,2041,1237,2874,98,198,106,2,566,362,884,10,28,2,4,2089,411,1144,255,1054,42,5
2011-02-16,4228,731,3663,99,516,679,2,1712,1196,2718,49,104,37,0,463,299,716,4,40,2,0,1515,434,1052,105,758,27,7
2011-02-17,4637,986,4079,131,746,650,17,1842,883,2481,65,77,102,0,541,372,862,10,39,2,0,1421,401,1023,106,659,24,10
2011-02-18,4767,905,3857,169,417,1224,5,2489,1154,3484,40,88,31,0,517,407,890,7,27,0,0,1994,421,1503,86,767,51,8
2011-02-19,9398,1929,9362,221,480,1264,0,5407,2951,7807,189,214,148,0,1449,640,2029,14,37,7,2,3199,847,3076,202,712,48,8
2011-02-20,11260,1839,10743,316,536,1504,0,5880,4279,9779,113,143,124,0,2207,807,2996,11,7,0,0,4068,812,3491,268,1089,24,8
2011-02-21,6471,975,5575,159,559,1111,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-22,0,0,0,0,0,0,0,4567,1907,5679,104,353,338,0,1124,626,1690,12,41,7,0,3560,957,3129,125,1216,24,23
2011-02-23,6366,1374,5935,138,490,1177,0,3485,2393,5582,82,155,59,0,935,563,1451,10,32,4,1,2154,555,2078,64,547,12,8
2011-02-24,5984,1232,5808,141,448,784,35,3551,2453,5820,45,87,52,0,936,613,1486,8,45,10,0,2285,516,2067,100,623,8,3
2011-02-25,5044,1009,4841,118,445,636,13,3372,2630,5732,72,114,84,0,596,434,1013,5,12,0,0,2113,429,1793,140,583,21,5
2011-02-26,10470,1634,10489,164,442,1009,0,6364,4360,10236,160,127,201,0,1693,615,2216,42,40,10,0,3813,785,3979,138,459,22,0
2011-02-27,2851,446,2276,74,335,612,0,2322,2547,4768,21,63,17,0,275,68,281,1,61,0,0,1119,143,657,26,497,65,17
2011-02-28,4870,3664,6816,166,540,980,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,4333,803,4572,79,176,304,5,5130,6656,11325,149,199,113,0,909,329,1203,15,17,3,0,2970,706,2210,255,1183,21,7
2011-03-02,3218,584,1964,35,538,1265,0,335,375,543,48,95,19,5,216,169,360,9,8,8,0,936,302,660,75,498,5,0
2011-03-03,3199,679,2160,74,766,878,0,319,400,583,37,59,40,0,228,282,481,6,23,0,0,1057,319,624,117,583,48,4
2011-03-04,3237,613,1876,118,649,1201,6,472,284,607,54,73,22,0,268,279,529,4,14,0,0,1290,316,846,80,655,24,1
2011-03-05,7154,1311,6584,192,713,940,36,1578,675,1923,155,102,73,0,783,381,1129,14,8,13,0,2516,583,1859,314,837,52,37
2011-03-06,8380,1377,7651,209,802,1031,64,2219,823,2458,141,145,284,14,1388,422,1788,7,15,0,0,3217,548,2340,250,1134,21,20
2011-03-07,4413,769,3327,82,744,1027,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-08,0,0,0,0,0,0,0,935,475,871,60,328,151,0,397,318,685,17,13,0,0,2331,365,1112,196,1334,44,10
2011-03-09,4160,872,3227,200,1082,521,2,602,594,785,214,86,106,5,260,308,454,36,78,0,0,1482,368,918,126,782,21,3
2011-03-10,3717,701,2430,190,709,1089,0,448,530,797,38,116,27,0,337,379,683,7,26,0,0,1346,439,750,91,929,6,9
2011-03-11,4497,1042,3283,257,883,1103,13,1108,426,1249,75,160,50,0,389,365,720,15,15,4,0,1761,356,1248,122,734,12,1
2011-03-12,10643,5253,12584,408,1192,1692,20,3102,2539,5049,214,208,163,7,1677,606,2148,73,56,1,5,4803,866,4790,205,633,38,3
2011-03-13,11851,2039,11011,345,780,1747,7,3482,1221,3981,347,152,198,25,2283,669,2882,43,27,0,0,4025,991,3832,309,828,36,11
2011-03-14,4758,925,3069,316,982,1310,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-15,0,0,0,0,0,0,0,892,589,952,100,331,98,0,271,284,509,16,26,4,0,2442,444,1413,133,1132,208,0
2011-03-16,4375,906,2687,181,840,1573,0,592,430,735,69,99,119,0,283,309,550,20,16,6,0,1263,416,954,104,565,54,2
2011-03-17,5558,1045,4014,153,787,1649,0,638,492,865,38,91,116,20,307,393,627,17,40,16,0,1801,413,1385,147,604,59,19
2011-03-18,4920,981,3173,262,850,1614,2,1095,704,1295,291,94,119,0,463,391,813,21,17,3,0,1710,406,1318,137,626,28,7
2011-03-19,9720,2047,8018,384,1081,2229,55,2335,990,2827,148,174,176,0,1396,462,1817,14,27,0,0,3057,754,2984,198,582,45,2
2011-03-20,5806,1105,3965,466,979,1497,4,1151,397,1222,97,140,87,2,906,280,1112,10,64,0,0,2701,441,2209,228,676,26,3
2011-03-21,6227,1258,4982,336,1035,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-22,0,0,0,0,0,0,0,1135,387,911,142,203,228,38,545,303,800,9,34,5,0,2069,437,1638,179,683,3,3
2011-03-23,4702,1153,3793,194,558,1306,4,640,543,984,55,86,43,15,628,343,792,29,131,14,5,1725,470,1061,179,841,39,75
2011-03-24,5880,946,5195,219,491,921,0,667,884,1320,45,89,97,0,427,378,695,14,77,19,0,1502,347,1051,175,586,26,11
2011-03-25,5464,944,4481,337,365,1205,20,607,436,850,67,100,25,1,460,305,707,31,19,8,0,1486,428,1154,192,552,11,5
2011-03-26,10861,25232,23639,2196,3047,7202,9,2343,2906,4761,156,207,120,5,1361,475,1768,46,20,2,0,4634,1018,4118,363,1112,40,19
2011-03-27,10746,1901,10028,277,721,1609,12,2576,956,3025,131,206,170,0,1678,387,1846,39,173,6,1,4141,605,2891,277,1495,59,24
2011-03-28,5721,1035,3615,226,1252,1603,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-29,0,0,0,0,0,0,0,1220,710,1366,122,290,152,0,663,313,957,6,13,0,0,4027,717,3017,295,1327,99,6
2011-03-30,8529,2311,7984,206,801,1845,4,1257,722,1746,77,99,57,0,810,345,1119,10,26,0,0,2253,562,1833,188,721,73,0
2011-03-31,7021,1354,5798,225,666,1491,195,1070,777,1528,53,145,92,29,635,413,1018,9,2,19,0,1880,663,1741,177,571,28,26
2011-04-01,5474,1341,4348,187,754,1517,9,1207,542,1532,97,60,60,0,897,549,1395,16,26,9,0,2105,561,1701,183,730,39,13
2011-04-02,9341,1486,8202,264,478,1881,2,2204,933,2827,117,98,95,0,1359,372,1672,16,25,16,2,2985,717,2712,230,676,49,35
2011-04-03,12077,2349,11642,301,531,1933,19,2913,1172,3485,262,152,186,0,2856,841,3667,8,18,4,0,4712,1078,4517,248,894,103,28
2011-04-04,8607,2156,8203,292,899,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-05,0,0,0,0,0,0,0,2555,892,2735,157,232,320,3,1477,507,1933,41,9,1,0,4910,818,3923,246,1355,202,2
2011-04-06,9014,1793,8115,154,546,1992,0,1089,679,1486,88,123,71,0,888,530,1330,23,21,44,0,1958,559,1401,300,619,120,77
2011-04-07,6554,598,5432,211,493,1016,0,266,306,464,29,37,42,0,149,128,234,13,12,18,0,888,307,564,92,487,44,8
2011-04-08,9867,1562,8655,342,550,1882,0,1461,685,1774,164,58,141,9,1268,461,1695,30,4,0,0,2385,629,1945,207,786,62,14
2011-04-09,11720,7677,14211,577,1250,2690,669,3076,2780,5181,258,124,293,0,2985,878,3850,11,1,0,1,6147,1295,5758,379,1127,158,20
2011-04-10,10464,2101,9504,241,499,2300,21,2449,945,2672,269,134,301,18,2445,573,2945,44,25,4,0,4404,1182,4308,300,824,93,61
2011-04-11,9097,1574,5942,428,1285,2860,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-12,0,0,0,0,0,0,0,3367,1027,3582,235,118,391,68,1450,613,1976,36,35,16,0,7353,1246,6013,699,1689,169,29
2011-04-13,12687,2146,10908,335,767,2778,45,1845,989,2347,131,139,217,0,1647,867,2447,29,38,0,0,2930,974,2598,345,913,48,0
2011-04-14,16321,1931,13192,336,689,3559,476,1843,982,2514,72,80,159,0,2181,860,2917,40,80,4,0,3985,1099,3939,319,702,123,1
