ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2009-01-01,7866,2100,4621,666,1352,3327,0,3626,2214,5581,146,81,13,19,869,195,937,44,66,15,2,2310,243,1675,77,765,10,26
2009-01-02,6103,1768,4417,440,748,2128,138,3530,1978,5301,116,79,5,7,602,257,765,28,44,22,0,2115,192,1437,7,812,35,16
2009-01-03,7576,2977,6878,528,872,2171,104,5508,3253,8602,112,27,20,0,948,390,1257,45,34,0,2,2378,399,2316,34,377,37,13
2009-01-04,6126,1802,3353,519,1005,2021,1030,4856,2611,7295,117,39,16,0,870,378,1107,24,84,33,0,1989,306,1670,43,549,13,20
2009-01-05,3936,1120,2158,268,1316,1259,55,0,0,0,0,0,0,0,392,198,501,12,77,0,0,0,0,0,0,0,0,0
2009-01-06,0,0,0,0,0,0,0,2685,1490,3226,121,792,5,31,0,0,0,0,0,0,0,2341,212,1129,77,1299,43,5
2009-01-07,3389,1182,2308,525,644,1021,73,1958,1442,3111,58,224,0,7,309,271,579,0,1,0,0,1135,164,685,7,595,0,12
2009-01-08,2660,907,1873,264,938,431,61,1801,1460,3076,72,93,15,5,255,275,524,2,4,0,0,861,226,441,84,559,0,3
2009-01-09,2653,803,1896,261,675,566,58,1747,1535,3129,66,80,0,7,175,163,329,4,4,1,0,1054,138,498,83,595,11,5
2009-01-10,3285,8329,9456,466,690,926,76,2036,3295,5129,59,132,11,0,237,443,668,8,4,0,0,1361,136,646,160,665,16,10
2009-01-11,4313,1246,2995,524,1052,882,106,2365,1355,3590,42,88,0,0,404,111,502,7,6,0,0,1609,166,1252,26,487,10,0
2009-01-12,3271,4124,4646,442,959,1099,249,0,0,0,0,0,0,0,260,80,330,4,6,0,0,0,0,0,0,0,0,0
2009-01-13,0,0,0,0,0,0,0,1895,1240,2472,72,556,35,0,0,0,0,0,0,0,0,1433,191,733,21,757,99,14
2009-01-14,2622,747,1185,133,761,1260,30,1151,1110,2053,28,146,34,0,233,125,312,1,45,0,0,1153,97,419,39,783,0,9
2009-01-15,3332,1116,1399,554,799,1645,51,1123,182,1171,61,61,0,12,205,127,305,7,20,0,0,940,97,511,10,495,3,18
2009-01-16,3611,1239,1995,332,798,1594,131,2783,1301,3874,60,142,8,0,662,230,876,5,11,0,0,1306,121,646,51,720,0,10
2009-01-17,7706,4731,7899,425,943,3044,126,6062,2899,8716,56,166,0,23,1039,281,1304,10,6,0,0,2105,311,1901,45,447,23,0
2009-01-18,6278,1800,4453,610,703,2223,89,4571,2429,6845,53,102,0,0,831,263,1058,8,28,0,0,2094,275,1686,32,644,7,0
2009-01-19,4723,1464,2534,340,1194,2064,55,0,0,0,0,0,0,0,459,156,483,19,82,31,0,0,0,0,0,0,0,0
2009-01-20,0,0,0,0,0,0,0,3530,1941,4745,101,598,27,0,0,0,0,0,0,0,0,2386,223,1304,79,1190,33,3
2009-01-21,4559,1172,2212,290,894,2187,148,1869,1477,3064,108,98,76,0,317,189,421,11,50,23,1,1158,169,736,26,554,11,0
2009-01-22,3658,962,2049,261,831,1468,11,2130,284,2213,113,79,9,0,426,212,546,12,80,0,0,892,166,684,14,355,5,0
2009-01-23,2349,693,881,194,593,1341,33,953,961,1771,50,93,0,0,93,66,116,6,19,18,0,936,47,145,28,798,7,5
2009-01-24,4614,2737,3205,714,1136,2285,11,1720,3912,5406,115,110,1,0,559,321,818,31,31,0,0,1244,146,927,0,429,34,0
2009-01-25,4791,1374,3452,342,597,1700,74,1871,1559,3179,50,87,109,5,568,142,626,37,24,23,0,976,122,782,107,167,42,0
2009-01-26,0,38481,15672,1848,9101,11374,486,0,5600,5600,0,0,0,0,0,3349,3141,208,0,0,0,2278,514,2491,4,209,88,0
2009-01-27,12412,4459,12821,504,435,3011,100,6142,3064,8568,144,390,79,25,2574,473,2957,55,31,4,0,3206,649,3183,47,454,150,21
2009-01-28,6489,1870,3406,365,796,3702,90,2190,1375,3302,173,56,34,0,505,198,635,13,26,25,4,996,137,542,82,470,38,1
2009-01-29,6640,1903,3264,276,719,4198,86,2584,1754,4046,107,160,25,0,452,281,698,15,20,0,0,1291,254,862,63,593,26,1
2009-01-30,7055,3088,4731,317,651,4377,67,2640,1826,4078,131,138,116,3,466,337,766,12,25,0,0,1685,207,723,73,1012,53,31
2009-01-31,11711,3622,8539,539,908,5260,87,6443,2906,8982,132,198,10,27,1282,512,1727,24,40,2,1,2328,417,1979,69,654,41,2
2009-02-01,10422,3004,7645,477,891,4407,6,5308,439,5308,187,154,98,0,1583,537,2057,14,46,3,0,2645,325,2071,57,829,10,3
2009-02-02,5899,1773,2972,275,1271,3082,72,0,0,0,0,0,0,0,462,268,513,14,200,0,3,0,0,0,0,0,0,0
2009-02-03,0,0,0,0,0,0,0,3216,2088,4044,109,868,272,11,0,0,0,0,0,0,0,2682,274,1859,117,806,174,0
